id,species,scientific,group,raritycode,pelagic,shorebird,passerine,waterfowl,perennial,vagrant,migrant,breeder,winter,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,X4.1,X4.2,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X6.1,X6.2,X6.3,X6.4,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X9.1,X9.2,X9.3,X9.4,X10.1,X10.2,X10.3,X10.4,X11.1,X11.2,X11.3,X11.4,X12.1,X12.2,X12.3,X12.4,presence
136,Eastern Phoebe,Sayornis phoebe,Tyrants,1,0,0,1,0,0,0,1,1,0,0.01137211,0.007985803,0.006795872,0.004306864,0.005476804,0.002963451,0.002520357,0.006503561,0.010187838,0.030361138,0.073114565,0.109239873,0.154989991,0.121470588,0.081931633,0.09026178,0.09220804,0.082244556,0.080674567,0.064117243,0.061142857,0.069411765,0.06856084,0.052951389,0.039237668,0.035440047,0.036344201,0.030203785,0.032947462,0.026834382,0.029432376,0.035714286,0.041233766,0.053349876,0.075281565,0.198680538,0.28035248,0.270929873,0.244428469,0.215931976,0.092512909,0.052537313,0.029073941,0.024355301,0.020670827,0.018792711,0.018219462,0.022461609,0.066995006
137,Eastern Screech-Owl,Megascops asio,Owls,1,0,0,0,0,0,0,1,0,1,0.017337808,0.010943508,0.007047571,0.007267833,0.007409794,0.007243991,0.005816208,0.006503561,0.004775549,0.007350591,0.007196315,0.007613905,0.006863025,0.005882353,0.004612046,0.011727749,0.012002286,0.013232831,0.007748405,0.003663842,0.003428571,0.008235294,0.004941322,0.0078125,0.004484305,0.00472534,0.003206841,0.00727802,0.005342832,0.013836478,0.018220042,0.024422269,0.026948052,0.024503722,0.034676941,0.020299416,0.016644909,0.017299969,0.010064702,0.00783173,0.0116179,0.019402985,0.014716439,0.007163324,0.007410296,0.021070615,0.036024845,0.031400413,0.011984359
138,Eastern Towhee,Pipilo erythrophthalmus,Sparrows/Towhees,1,0,0,1,0,1,0,0,1,1,0.061707681,0.050280982,0.043040524,0.062449529,0.056378866,0.053671386,0.041876696,0.047692784,0.066220949,0.064876957,0.080886586,0.085116067,0.142121819,0.210882353,0.226532827,0.263874346,0.240045723,0.185929648,0.164995442,0.14907259,0.138285714,0.131176471,0.128474367,0.136284722,0.099775785,0.12758417,0.149118119,0.136098981,0.111308994,0.108176101,0.080939033,0.072478992,0.081168831,0.091811414,0.085062241,0.100989597,0.151109661,0.236329935,0.203091301,0.180353547,0.129948365,0.113134328,0.102656138,0.086532951,0.077223089,0.10022779,0.112215321,0.082970433,0.117753753
139,Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgiformes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000470639,0.000577151,0.002046039,0.004117647,0.006239826,0.010052356,0.016765098,0.019095477,0.012534184,0.008243646,0.007989143,0.006470588,0.003421865,0.004340278,0.004484305,0.002953337,0.002672368,0.001819505,0.001780944,0.001677149,0.001225823,0.001313025,0.002922078,0.001240695,0.001481921,0.000507485,0.000326371,0,0,0.000223764,0,0,0,0,0,0,0,0,0.002645681
140,Eastern Wood-Pewee,Contopus virens,Tyrants,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294118,0.000271297,0.004816754,0.079443704,0.149246231,0.209206928,0.20906801,0.198857143,0.198823529,0.172946263,0.1484375,0.121076233,0.138806852,0.136825227,0.117540029,0.128227961,0.145492662,0.154169587,0.184611345,0.197077922,0.155397022,0.148784825,0.121542756,0.067558747,0.026876738,0.005391804,0.001118819,0.000534423,0.000298507,0,0,0,0,0,0,0.067140478
141,Eurasian Collared-Dove,Streptopelia decaocto,Pigeons/Doves,1,0,0,0,0,0,1,0,0,0,0.007084265,0.003845016,0.003020388,0.003768506,0.006121134,0.003951268,0.001163242,0.002787241,0.006084209,0.005752637,0.005181347,0.004551661,0.002573635,0.002352941,0.003798155,0.001465969,0.00228615,0.003015075,0.002278943,0.001144951,0.000571429,0.001764706,0.004941322,0.002170139,0.006726457,0.004134672,0.002137894,0.000727802,0.004897596,0.004612159,0.002803083,0.00262605,0.00487013,0.004962779,0.003556609,0.003806141,0.005548303,0.006487488,0.00395399,0.003132692,0.006024096,0.006865672,0.005014537,0.005444126,0.007800312,0.004555809,0.004554865,0.004813202,0.003994392
142,Eurasian Tree Sparrow,Passer montanus,Old_Sparrows,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055883,0.005147269,0.000502941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129355
143,Eurasian Wigeon,Anas penelope,Ducks,2,0,0,0,1,0,0,1,0,1,0.015846383,0.014492754,0.01459854,0.008344549,0.009664948,0.005597629,0.007367197,0.009290802,0.012098058,0.011824864,0.007772021,0.004551661,0.003145553,0.005294118,0.004069452,0.003141361,0.00076205,0,0,0,0,0,0,0,0,0.002953337,0,0,0,0,0,0,0,0,0,0.009134737,0.018603133,0.038616002,0.035945363,0.045647796,0.036144578,0.022686567,0.027638191,0.03008596,0.028861154,0.0261959,0.015320911,0.011689205,0.01015385
144,European Golden-Plover,Pluvialis apricaria,Plovers/Lapwings,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56211E-06
145,European Starling,Sturnus vulgaris,Starlings,1,0,0,1,0,1,0,0,1,1,0.285794183,0.254658385,0.255222754,0.280753701,0.277706186,0.29239381,0.290810392,0.262620006,0.275708373,0.288910195,0.259643063,0.273782431,0.305118673,0.302941176,0.328540423,0.299267016,0.301390741,0.299664992,0.339562443,0.326081978,0.378285714,0.34,0.337245213,0.366753472,0.389573991,0.356172475,0.31373597,0.333697234,0.354407836,0.327044025,0.306236861,0.326680672,0.338311688,0.308933002,0.298162418,0.310073585,0.340078329,0.336731542,0.328900072,0.327813829,0.333476764,0.332537313,0.343144293,0.332951289,0.28900156,0.305808656,0.316770186,0.289021316,0.313794171
146,Evening Grosbeak,Coccothraustes vespertinus,Finches,1,0,0,1,0,0,1,0,0,0,0.000372856,0.000591541,0,0,0,0,0.000193874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000729511,0.002013873,0.012048193,0.004477612,0.001076813,0.000573066,0.000780031,0,0.000414079,0.0006876,0.000499147
147,Field Sparrow,Spizella pusilla,Sparrows/Towhees,1,0,0,1,0,1,0,0,1,1,0.055369128,0.042295179,0.04153033,0.036877524,0.041237113,0.034902865,0.042846064,0.035614741,0.042979943,0.050495366,0.061312608,0.060992262,0.101515585,0.128235294,0.122083559,0.126073298,0.122880549,0.118592965,0.114402917,0.110144264,0.106857143,0.12,0.107473749,0.103298611,0.110426009,0.122268163,0.140032068,0.127365357,0.114425646,0.129979036,0.114225648,0.090073529,0.062337662,0.070099256,0.051274452,0.052270997,0.084530026,0.12171764,0.159597412,0.189527859,0.135111876,0.105074627,0.090093324,0.0747851,0.059282371,0.074031891,0.079089027,0.066009626,0.09065916
148,Fish Crow,Corvus ossifragus,Corvids,1,0,0,1,0,1,0,0,1,1,0.04567487,0.035196687,0.047571105,0.051144011,0.057989691,0.046098123,0.055447848,0.091669247,0.109200891,0.157238734,0.185952792,0.218024579,0.283671719,0.286764706,0.277807922,0.257172775,0.231853686,0.217085427,0.230628988,0.203114266,0.230857143,0.232941176,0.270537369,0.279079861,0.266816143,0.265800354,0.252805986,0.238719068,0.225289403,0.21509434,0.198668535,0.172794118,0.202597403,0.183933002,0.171606402,0.170261355,0.174281984,0.156626506,0.128324946,0.128216603,0.08777969,0.073432836,0.064249821,0.066475645,0.067472699,0.0523918,0.055900621,0.063259225,0.162198377
149,Fork-tailed Flycatcher,Tyrannus savana,Tyrants,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001118819,0,0,0,0,0,0,0,0,3.43624E-05
150,Forster's Tern,Sterna forsteri,Gulls/Terns,1,0,0,0,0,0,0,1,1,1,0.025167785,0.022478557,0.011326454,0.005921938,0.005154639,0.00428054,0.004459093,0.018891298,0.013689908,0.033237456,0.039435809,0.072143832,0.134114956,0.192352941,0.223005969,0.22052356,0.24747571,0.261641541,0.302415679,0.272040302,0.229714286,0.219411765,0.243977764,0.246961806,0.291479821,0.330183107,0.383752004,0.386462882,0.387800534,0.337526205,0.370007008,0.327205882,0.3,0.302109181,0.285714286,0.267952296,0.239556136,0.202965709,0.19410496,0.198702171,0.151032702,0.131044776,0.118090452,0.082808023,0.046801872,0.032460137,0.024430642,0.027045611,0.17643875
